epoch,train_loss,train_acc,eval_acc_top1,eval_acc_top5,examples_seen,effective_examples,effective_ratio,compute_ratio,train_seconds,images_per_sec,lr,mean_rank
180,2.890121,0.827744,0.6357,0.85184,1281024,338308,0.264092,0.597425,602.854,2124.93,0.00035565,0.0
181,2.882101,0.82865,0.6367,0.85162,1281024,337362,0.263353,0.596687,522.357,2452.39,0.00035056,0.0
182,2.870751,0.8311,0.6408,0.8535,1281024,335715,0.262068,0.595401,512.266,2500.7,0.00034549,0.0
183,2.865037,0.832552,0.6389,0.8525,1281024,334132,0.260832,0.594165,514.569,2489.51,0.00034044,0.0
184,2.860575,0.833926,0.63838,0.85016,1281024,332779,0.259776,0.593109,520.502,2461.13,0.0003354,0.0
185,2.851792,0.835254,0.63902,0.85374,1281024,331822,0.259029,0.592362,519.25,2467.07,0.00033038,0.0
186,2.83947,0.837638,0.63942,0.8538,1281024,330596,0.258072,0.591405,515.066,2487.1,0.00032538,0.0
187,2.834223,0.838959,0.64124,0.85256,1281024,329375,0.257119,0.590452,518.471,2470.77,0.0003204,0.0
188,2.825143,0.84101,0.64378,0.85504,1281024,327483,0.255642,0.588975,513.459,2494.89,0.00031544,0.0
189,2.819146,0.842679,0.6453,0.85488,1281024,326463,0.254845,0.588179,513.437,2495.0,0.0003105,0.0
190,2.809838,0.844137,0.64302,0.85362,1281024,325186,0.253848,0.587182,576.035,2223.86,0.00030559,0.0
191,2.801127,0.845689,0.64346,0.85512,1281024,324206,0.253083,0.586417,514.865,2488.08,0.00030069,0.0
192,2.791673,0.846881,0.64982,0.8562,1281024,322488,0.251742,0.585076,508.413,2519.65,0.00029582,0.0
193,2.782612,0.849024,0.64474,0.85368,1281024,321711,0.251136,0.584469,509.688,2513.35,0.00029097,0.0
194,2.77672,0.850555,0.64922,0.85764,1281024,319799,0.249643,0.582977,515.349,2485.74,0.00028615,0.0
195,2.774129,0.851834,0.64692,0.85718,1281024,319038,0.249049,0.582383,514.899,2487.91,0.00028135,0.0
196,2.760249,0.853905,0.6482,0.85744,1281024,317804,0.248086,0.581419,510.493,2509.39,0.00027657,0.0
197,2.752452,0.855192,0.6476,0.85492,1281024,316385,0.246978,0.580312,516.932,2478.13,0.00027182,0.0
198,2.746037,0.856586,0.64722,0.85454,1281024,314937,0.245848,0.579181,514.819,2488.3,0.00026709,0.0
199,2.737443,0.858578,0.6507,0.8574,1281024,313555,0.244769,0.578102,514.039,2492.07,0.0002624,0.0
200,2.731251,0.859313,0.64928,0.85476,1281024,312811,0.244188,0.577522,537.587,2382.91,0.00025772,0.0
201,2.725618,0.861742,0.64704,0.85632,1281024,310567,0.242437,0.57577,505.476,2534.29,0.00025308,0.0
202,2.709737,0.863066,0.64656,0.85502,1281024,310092,0.242066,0.575399,502.585,2548.87,0.00024846,0.0
203,2.701155,0.864992,0.64774,0.85538,1281024,308899,0.241134,0.574468,510.858,2507.59,0.00024388,0.0
204,2.69264,0.866353,0.64662,0.85612,1281024,307162,0.239778,0.573112,513.695,2493.74,0.00023932,0.0
205,2.687626,0.867654,0.65084,0.85714,1281024,306042,0.238904,0.572238,518.172,2472.2,0.00023479,0.0
206,2.675939,0.869489,0.65016,0.85714,1281024,304734,0.237883,0.571216,517.338,2476.19,0.00023029,0.0
207,2.66796,0.871297,0.65422,0.85878,1281024,303408,0.236848,0.570181,518.331,2471.44,0.00022582,0.0
208,2.663638,0.872445,0.65324,0.85808,1281024,302050,0.235788,0.569121,518.185,2472.13,0.00022139,0.0
209,2.650948,0.873956,0.6538,0.85858,1281024,301063,0.235017,0.568351,521.831,2454.87,0.00021698,0.0
210,2.64417,0.875511,0.65346,0.8582,1281024,299823,0.234049,0.567383,521.983,2454.15,0.00021261,0.0
211,2.635818,0.876894,0.65426,0.85774,1281024,298911,0.233338,0.566671,527.761,2427.28,0.00020827,0.0
212,2.628894,0.878388,0.65646,0.86078,1281024,297093,0.231918,0.565252,527.122,2430.22,0.00020396,0.0
213,2.620532,0.879339,0.64998,0.85666,1281024,296217,0.231235,0.564568,528.791,2422.55,0.00019968,0.0
214,2.609642,0.881261,0.65136,0.85678,1281024,295446,0.230633,0.563966,528.347,2424.59,0.00019544,0.0
215,2.59901,0.882871,0.65346,0.85714,1281024,293833,0.229374,0.562707,527.753,2427.32,0.00019124,0.0
216,2.593976,0.884376,0.65436,0.85792,1281024,292176,0.22808,0.561413,527.414,2428.88,0.00018707,0.0
217,2.587296,0.885482,0.65786,0.85934,1281024,291905,0.227868,0.561202,529.146,2420.93,0.00018293,0.0
218,2.570884,0.887271,0.65396,0.856,1281024,290214,0.226548,0.559882,525.067,2439.74,0.00017883,0.0
219,2.568219,0.888358,0.65742,0.86142,1281024,288887,0.225513,0.558846,527.697,2427.58,0.00017477,0.0
220,2.558302,0.890001,0.65754,0.85882,1281024,288306,0.225059,0.558392,530.988,2412.53,0.00017074,0.0
221,2.551844,0.891153,0.65708,0.86066,1281024,286505,0.223653,0.556986,530.793,2413.42,0.00016676,0.0
222,2.543199,0.892073,0.65872,0.85934,1281024,286112,0.223346,0.55668,526.694,2432.2,0.00016281,0.0
223,2.525033,0.894089,0.6581,0.86252,1281024,284974,0.222458,0.555791,527.104,2430.31,0.00015889,0.0
224,2.516056,0.895495,0.65794,0.8613,1281024,284306,0.221937,0.55527,527.834,2426.94,0.00015502,0.0
225,2.513231,0.897184,0.65542,0.85918,1281024,282019,0.220151,0.553485,531.368,2410.8,0.00015118,0.0
226,2.500688,0.898793,0.66102,0.8618,1281024,281526,0.219766,0.5531,528.608,2423.39,0.00014739,0.0
227,2.490572,0.900078,0.65768,0.86168,1281024,280577,0.219026,0.552359,528.443,2424.15,0.00014363,0.0
228,2.492255,0.900348,0.6605,0.86192,1281024,279274,0.218008,0.551342,528.584,2423.5,0.00013992,0.0
229,2.472053,0.902459,0.66426,0.86482,1281024,278394,0.217321,0.550655,528.853,2422.27,0.00013625,0.0
230,2.46869,0.903499,0.66176,0.86154,1281024,277326,0.216488,0.549821,528.342,2424.61,0.00013261,0.0
231,2.453385,0.904807,0.66034,0.86252,1281024,276323,0.215705,0.549038,531.99,2407.99,0.00012902,0.0
232,2.449523,0.906821,0.66212,0.8608,1281024,274801,0.214517,0.54785,526.628,2432.5,0.00012547,0.0
233,2.435059,0.907351,0.66392,0.86382,1281024,275170,0.214805,0.548138,528.461,2424.07,0.00012197,0.0
